_unit_id,_trusted_judgments,comment,antagonise,antagonise:confidence,condescending,condescending:confidence,dismissive,dismissive:confidence,generalisation,generalisation:confidence,generalisation_unfair,generalisation_unfair:confidence,healthy,healthy:confidence,hostile,hostile:confidence,sarcastic,sarcastic:confidence,pred_antagonise,pred_condescending,pred_dismissive,pred_generalisation,pred_generalisation_unfair,pred_healthy,pred_hostile,pred_sarcastic
1739464639,3,Yup. You got it.,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.022034287,0.028556734,0.017919838,0.017727435,0.015778482,0.95614636,0.014747381,0.034324527
1739446479,5,The conservative vote held. It was the NDP vote that collapsed.,0,1.0,0,1.0,0,1.0,0,0.8041,0.0,1.0,1,1.0,0,1.0,0,1.0,0.018502861,0.023120046,0.015375346,0.016232431,0.014399916,0.96439266,0.013457447,0.03022033
1739456629,5,"Jimmy Carter came after Vietnam, Obama came after Iraq. Both times when Americans were sick of fighting.",0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,0.7902,0,1.0,0,1.0,0.019224167,0.02445817,0.01578781,0.016515255,0.014938414,0.9624175,0.01363951,0.03110367
2319158119,4,Would vote for Trump over Wynne.,0,0.7529,0,0.7529,0,0.7529,0,0.7529,0.0,1.0,1,1.0,0,0.7529,0,1.0,0.018201739,0.022871494,0.015216559,0.01609829,0.014400691,0.96512836,0.01339516,0.02990815
1739470049,5,"'Parliament should decide.'In other words, 'Let the Liberals do whatever they want'.No thanks.",0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,0.7988,0,1.0,0,0.6068,0.034062594,0.047788054,0.022884876,0.025588274,0.021418393,0.929389,0.018336505,0.04683259
1739463629,5,And this is coming from a hindu who's nation is still practicing the same everyday!,0,0.6051,1,0.6033,0,0.8017,1,0.7886,1.0,0.7886,1,0.6051,0,0.6051,1,0.7999,0.018364638,0.023088872,0.01562053,0.015797734,0.014350057,0.9648876,0.013425052,0.030262351
1739460899,3,jmog. Many small contributions make a big one.,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.019547462,0.024777532,0.016275823,0.01634413,0.014758885,0.9621947,0.013793111,0.031251967
2327178189,3,What's bred in the bone will not from the flesh depart . . .,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.018408626,0.022802263,0.015275717,0.015852034,0.0143790245,0.96477944,0.013462633,0.030087858
1739467279,3,"Georg, Mark.. etc please stop with the personal attacks and read up on comparisons of Greenland and Antarctic ice expansion/contraction timing.",0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.018719494,0.02369529,0.015782505,0.015958548,0.01459372,0.9638194,0.013523042,0.030580103
1739446279,5,"Yeah, a real work in progress. Maybe given a few more years, Jason Kenney and the Conservatives would figure out how to fix the program they inflated. Good grief. Luckily, we don't need to leave it up to them.",0,0.8141,0,1.0,0,1.0,0,0.8141,0.0,1.0,1,0.8141,0,1.0,1,0.5995,0.021621466,0.02826956,0.017251909,0.01821649,0.015728623,0.9572731,0.014527261,0.034205616
1739442739,5,Our new Prime Minister is indeed very handsome and very intelligent. A wonderful change from his predecessor who was neither.,0,0.7918,0,1.0,0,1.0,0,1.0,0.0,1.0,1,0.7918,0,0.7918,0,1.0,0.018497974,0.023090959,0.015605539,0.015787572,0.014264256,0.96457076,0.013409466,0.030292273
1739463019,3,What makes your ideas 'right-headed'? How can you be sure?,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.054329783,0.07360923,0.03168735,0.02369669,0.028519511,0.89584994,0.021312684,0.043197602
1739469359,6,The electorate of Minnesota elected Jesse 'The Body' Ventura as Governor of their fine state.,0,1.0,0,0.8229,0,1.0,0,0.8229,0.0,1.0,1,0.6553,0,0.8352,0,0.8352,0.01915747,0.023974359,0.015721858,0.016406238,0.0148181915,0.962641,0.013480067,0.031107634
1739464499,3,Because like Ford he claimed that transit and everything else could be built without considering revenue.,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.018170565,0.022730082,0.014934242,0.01589784,0.014239341,0.96579313,0.013187796,0.029245973
1739451869,3,"It was Mulcair who demanded that Trudeau condemn Trump during the election, something he wisely did not do.",0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.018247128,0.022910178,0.015204608,0.01609993,0.014234453,0.96538717,0.01331827,0.029815435
2327177619,3,Did you mean 'the surprise'?,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.018390507,0.022911668,0.015129387,0.016051859,0.014307827,0.9655123,0.013179421,0.029320508
1739458819,3,Apologies - Shadow Home Secretary,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.018458188,0.022915304,0.014979273,0.016028821,0.014324158,0.9655052,0.013211668,0.029221952
1739443979,3,"It also shows a complete lack of interest in trying to PREVENT the crimes in the first place, imo.",0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.018365711,0.022830516,0.015490979,0.015791684,0.014265418,0.96505296,0.013364792,0.030185163
2327195619,5,...and everyone capable of basic research knows that opening paragraph is a lie and that quote is misattributed to Stalin. https://en.wikiquote.org/wiki/Joseph_Stalin#MisattributedSo statistically you are batting 1.000 (as usual).,0,1.0,0,0.7872,0,1.0,0,1.0,0.0,1.0,0,0.6123,0,1.0,0,1.0,0.10824314,0.114751846,0.050881922,0.03352636,0.038812727,0.85905445,0.036405385,0.07162258
2327178249,5,"2 to 3% a year....ummm, you might want to check your figures on that.",0,0.8037,0,0.5935,0,0.8037,0,1.0,0.0,1.0,1,0.8037,0,1.0,0,0.8037,0.01987493,0.025327474,0.016584575,0.016542763,0.015162528,0.96136624,0.013832182,0.032010168
1739464569,3,"They've actually reduced taxes man... And the 20% of the population that would be impacted by this has the option to make it revenue neutral, which means no tax increaseSo your points are invalid",0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.024521679,0.031315297,0.01853326,0.018885553,0.017182648,0.95173603,0.015408725,0.03545332
1739467089,3,This old-timer has his fingers crossed. lol,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.15517172,0.14914227,0.095757544,0.041166395,0.039236486,0.8067979,0.08662692,0.098556936
1739462229,4,Steve - why do you hate the environment so much?,0,0.7623,0,0.7623,0,0.7623,0,1.0,0.0,1.0,0,0.7665,0,0.7623,0,0.7623,0.030184627,0.042663634,0.022349983,0.021190405,0.019214302,0.9353357,0.017412007,0.037783027
2327212789,3,Have you ever heard what getting-along jobs that either Mr. Mulcair or Mr. Harper have done? Such jobs - and I did them - offer great insight into humans and the human condition.,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.01893133,0.023682982,0.015939504,0.015991658,0.014439195,0.96424377,0.013610363,0.030834526
2297540619,5,You are inexplicably rude and unkind. Does that truly make you feel smug and terrific? How shameful? How old are you... three?,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,0.7947,0,1.0,0,1.0,0.2936344,0.2671821,0.17527035,0.06240788,0.05925572,0.66154945,0.18243542,0.09607324
1739444569,5,I think Trump is addicted to the cheers. I think we are going to see all too much of him. After loosing he will still go out to stir trouble: he may start his own party. The guy is a cesspool of trouble.,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,0.7971,0,1.0,0,0.8069,0.12665102,0.14174113,0.06457621,0.042972982,0.047202945,0.81297547,0.068486065,0.0941174
2028122569,5,"D - I repeat, it's just a gratuitous insult and nothing to do with the article. He isn't even mentioned!",0,0.7936,0,1.0,0,0.8037,0,0.7936,0.0,0.0,1,0.5993,0,0.7936,0,0.5973,0.024386406,0.03363064,0.01778087,0.018094003,0.018164724,0.952442,0.015232235,0.033390135
1739451919,5,Are you kidding? It's a figure of sppeech only...,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,0.5969,0,1.0,0,0.8083,0.090636104,0.09758055,0.048475772,0.032677233,0.030075818,0.86553615,0.037408173,0.07243729
2164632089,3,I think you misread my comment. I just wrote that i like to see the faces of people around.,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.018800378,0.023773491,0.015806943,0.015972644,0.014532387,0.96382916,0.013424665,0.030151635
1739441809,5,It means other than Muslim... to the base... kinda racist,0,1.0,0,1.0,0,1.0,0,0.7977,0.0,1.0,1,0.7977,0,1.0,0,1.0,0.26943472,0.22469887,0.12514561,0.05511874,0.058159083,0.68972284,0.1455723,0.08510041
2327178699,3,Why not drive less then?,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.018167555,0.022613436,0.015273482,0.015558153,0.014169216,0.96564186,0.013219953,0.029751778
1739459689,3,And of course MG-TD IS the gold standard on interpreting God's word. How about starting your posts with 'In my opinion'. You seem to criticise others for having one.,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.15325049,0.16771904,0.08632508,0.04182768,0.04474601,0.80387825,0.07314882,0.08178127
1739460369,5,"Simple answer, greatly lower personal income taxes and everyone gets to keep the money they earned and less money leaves the country. Oh and yes a wonderful result of this is less government which equals more freedom.",0,1.0,0,0.8161,0,0.6263,0,0.8161,0.0,1.0,1,0.8161,0,1.0,0,0.8161,0.018088698,0.022511601,0.015262723,0.01565528,0.0142122805,0.9653772,0.013244569,0.030064732
2297539989,3,The truth hurts.,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.019409359,0.024457872,0.016129524,0.016418338,0.014712274,0.96218705,0.013693213,0.03129074
1739464619,5,"If you the jacket of 'Progressive' on your conservative body, you are no conservative.",0,1.0,0,0.8056,0,0.6097,0,0.8056,0.0,1.0,1,0.7945,0,1.0,0,0.8056,0.14736557,0.14446807,0.06741661,0.03862855,0.042415023,0.8139154,0.04957795,0.077314645
1739471889,3,Being Green & Clean certainly did cost with Dalton in charge.,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.018781602,0.023460865,0.015836298,0.015859574,0.014471233,0.9651073,0.013660252,0.030572236
1739446589,5,They will disingenuously plead ignorance of what the word means. Bet on it.,0,1.0,0,0.8083,0,0.8083,0,1.0,0.0,1.0,1,0.5969,0,1.0,0,1.0,0.09884578,0.10771179,0.042649537,0.033151954,0.03769669,0.85263085,0.030889928,0.0683434
1739462269,4,Scrimbro......are you cool with writing the Ford book???,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,0.7546,0,1.0,0,1.0,0.049993217,0.0684579,0.02972582,0.027436048,0.025671273,0.9002681,0.02176702,0.049108297
1739453059,3,"Thanks for this. I've always wondered why SH had a more Pro-Israel stance than even the US prez. Why Baird would go to Jerusalem and make targets of all Canadians. Now I know... money, money, money $$",0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.091531396,0.0921137,0.04595968,0.034195453,0.034572035,0.8606112,0.033961624,0.07631418
1739457979,5,Toronto is a world class.,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,0.7945,0,1.0,0,1.0,0.018273056,0.022697747,0.014969707,0.015826017,0.014227718,0.9652381,0.013141185,0.02930832
1739457949,3,models are only as accurate as the validity of the assumptions built into them,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.018532246,0.02322653,0.015268952,0.016083956,0.014527887,0.96515346,0.013364404,0.029589504
1739447069,3,Only one bath per week? Seriously? That's just wrong.,0,1.0,0,1.0,0,1.0,0,1.0,0.0,1.0,1,1.0,0,1.0,0,1.0,0.028710663,0.03929782,0.023120075,0.019416213,0.018156469,0.9453841,0.017388552,0.03752637
